OW_k8_randomInit_20h20m4s.txt;OW_k8_randomInit_20h19m38s.txt;OW_k8_randomInit_20h19m54s.txt;OW_k8_randomInit_20h20m43s.txt;OW_k8_randomInit_20h20m40s.txt;OW_k8_randomInit_20h20m2s.txt;OW_k8_randomInit_20h19m51s.txt;OW_k8_randomInit_20h20m35s.txt;OW_k8_randomInit_20h19m36s.txt;OW_k8_randomInit_20h19m59s.txt;OW_k8_randomInit_20h20m38s.txt;OW_k8_randomInit_20h20m17s.txt;OW_k8_randomInit_20h20m25s.txt;OW_k8_randomInit_20h19m46s.txt;OW_k8_randomInit_20h20m12s.txt;OW_k8_randomInit_20h19m49s.txt;OW_k8_randomInit_20h20m9s.txt;OW_k8_randomInit_20h20m27s.txt;OW_k8_randomInit_20h19m44s.txt;OW_k8_randomInit_20h20m45s.txt;OW_k8_randomInit_20h20m20s.txt;OW_k8_randomInit_20h19m41s.txt;OW_k8_randomInit_20h20m22s.txt;OW_k8_randomInit_20h20m32s.txt;OW_k8_randomInit_20h20m7s.txt;OW_k8_randomInit_20h19m57s.txt;OW_k8_randomInit_20h20m50s.txt;OW_k8_randomInit_20h20m30s.txt;OW_k8_randomInit_20h20m14s.txt;OW_k8_randomInit_20h20m48s.txt
69.1081882353;68.7251764706;69.0392470588;69.0535294118;68.4076;69.0632588235;68.6680235294;68.4720470588;68.3371882353;69.0525882353;69.3837764706;68.4821294118;68.3126117647;68.7298588235;68.3752117647;69.1603411765;69.2226941176;68.742;68.4646941176;68.7473529412;68.8351294118;68.7359058824;69.2999294118;68.5778352941;68.6477882353;68.8707529412;69.1888941176;68.4935294118;68.4736588235;68.3078117647
69.0986941176;68.7251764706;69.0392470588;69.0872117647;68.4703176471;69.0514941176;68.6680235294;68.4784470588;68.3386588235;69.0525882353;69.3837764706;68.4770823529;68.3126117647;68.7222352941;68.3600588235;69.2248235294;69.1176941176;68.742;68.4795176471;68.7721529412;68.8603529412;68.8022588235;69.3337058824;68.5671058824;68.6477882353;68.8765764706;69.1888941176;68.4935294118;68.4595294118;68.3078117647
69.0607529412;68.7251764706;69.0586352941;69.0997294118;68.4076;69.0482588235;68.6680235294;68.4714;68.3320117647;69.0537058824;69.3816;68.4770823529;68.3126117647;68.7222352941;68.3648823529;69.1676470588;69.1639647059;68.742;68.4506117647;68.7444235294;68.8078235294;68.7096470588;69.2947058824;68.5747294118;68.6477882353;68.9119764706;69.1888941176;68.4935294118;68.4325294118;68.3078117647
69.0898352941;68.7251764706;69.0483764706;69.1325882353;68.4737176471;69.0482588235;68.6680235294;68.4866352941;68.3888705882;69.0603529412;69.3816;68.4770823529;68.3126117647;68.7222352941;68.3618588235;69.1965882353;69.1143058824;68.742;68.4506117647;68.7428235294;68.8167647059;68.7385529412;69.3026470588;68.5682;68.6477882353;68.8740352941;69.1888941176;68.4935294118;68.4363411765;68.3078117647
69.0816117647;68.7251764706;69.0533647059;69.0810941176;68.4076;69.0482588235;68.6680235294;68.4778117647;68.3308941176;69.0835058824;69.3816;68.4770823529;68.3126117647;68.7222352941;68.3560117647;69.1702235294;69.1439529412;68.7631764706;68.4506117647;68.764;68.8144235294;68.8146470588;69.1739882353;68.5634352941;68.6477882353;68.8982470588;69.1888941176;68.5147058824;68.4596352941;68.3128
69.0956705882;68.7251764706;69.0436705882;69.11;68.4217176471;69.0628470588;68.6680235294;68.4670470588;68.3371882353;69.0548941176;69.3816;68.4770823529;68.3126117647;68.7222352941;68.3551764706;69.1755882353;69.1439529412;68.742;68.4506117647;68.7428235294;68.8216588235;68.7096470588;69.1570470588;68.5620235294;68.6477882353;68.8841647059;69.1888941176;68.4935294118;68.3965882353;68.3604235294
69.0764823529;68.7251764706;69.0392470588;69.0700823529;68.4094;69.0985529412;68.6680235294;68.4958470588;68.3308941176;69.0789411765;69.3816;68.4770823529;68.3126117647;68.7222352941;68.3551764706;69.1755882353;69.1521058824;68.742;68.4506117647;68.7690823529;68.8673647059;68.7758235294;69.1519647059;68.5761058824;68.6477882353;68.9474117647;69.1888941176;68.4935294118;68.4005882353;68.3089529412
69.0816117647;68.7251764706;69.0392470588;69.0964470588;68.4076;69.0493411765;68.6698235294;68.4826117647;68.3357882353;69.0537058824;69.3816;68.4770823529;68.3126117647;68.7222352941;68.3551764706;69.1627058824;69.1233058824;68.742;68.4506117647;68.8564352941;68.8121529412;68.7096470588;69.1495294118;68.5964352941;68.6477882353;68.8707529412;69.1888941176;68.4935294118;68.3928705882;68.3862117647
69.0670705882;68.7251764706;69.0459882353;69.0579058824;68.4076;69.1689647059;68.6680235294;68.4801764706;68.3308941176;69.0706588235;69.3816;68.4770823529;68.3126117647;68.7222352941;68.4398823529;69.1603411765;69.1388705882;68.742;68.4506117647;68.7428235294;68.8167647059;68.7498470588;69.1570470588;68.5717294118;68.6477882353;68.9358;69.1888941176;68.4935294118;68.4005882353;68.3078117647
69.0607529412;68.7251764706;69.0392470588;69.0602;68.4075411765;69.0482588235;68.6680235294;68.4614352941;68.3308941176;69.0588823529;69.3816;68.4770823529;68.3126117647;68.7222352941;68.3551764706;69.1580470588;69.1143058824;68.742;68.4506117647;68.7504470588;68.8018588235;68.7096470588;69.1596941176;68.5936470588;68.6477882353;68.8728705882;69.1888941176;68.4935294118;68.3928705882;68.3281529412
69.0568941176;68.7251764706;69.0586352941;69.1030823529;68.4075411765;69.0514941176;68.6680235294;68.4711411765;68.3308941176;68.8587882353;69.3816;68.4770823529;68.3126117647;68.7222352941;68.3924470588;69.1627058824;69.1521058824;68.742;68.4506117647;68.7428235294;68.8018588235;68.7096470588;69.1782941176;68.5676352941;68.6477882353;68.8999764706;69.1888941176;68.4935294118;68.3894352941;68.3157176471
69.0842823529;68.7251764706;69.0392470588;69.0556823529;68.4091058824;69.0595058824;68.6680235294;68.4711411765;68.3308941176;68.8877764706;69.3816;68.4770823529;68.3126117647;68.7186588235;68.3607882353;69.1603411765;69.1340705882;68.742;68.4506117647;68.7428235294;68.8018588235;68.7096470588;69.1624117647;68.5717294118;68.6477882353;68.8765764706;69.1888941176;68.4935294118;68.3862823529;68.3089529412
69.1008117647;68.7251764706;69.0641882353;69.0602;68.4075529412;69.0482588235;68.6960705882;68.4614352941;68.3308941176;68.8517882353;69.3983176471;68.4770823529;68.3126117647;68.7167176471;68.3715529412;69.1558235294;69.1388705882;68.742;68.4506117647;68.7428235294;68.8018588235;68.7096470588;69.1860117647;68.5620235294;68.6477882353;68.9121529412;69.1888941176;68.4935294118;68.3834117647;68.3128
