OW_k8_epochsize10_gamma0.2_1h18m19s.txt;OW_k8_epochsize10_gamma0.01_1h17m4s.txt;OW_k4_epochsize20_gamma0.3_1h19m7s.txt;OW_k4_epochsize10_gamma0.01_1h16m28s.txt;OW_k4_epochsize20_gamma0.2_1h17m52s.txt;OW_k8_epochsize50_gamma0.1_1h16m19s.txt;OW_k8_epochsize30_gamma0.3_1h19m56s.txt;OW_k4_epochsize10_gamma0.2_1h17m43s.txt;OW_k8_epochsize30_gamma0.2_1h18m38s.txt;OW_k8_epochsize20_gamma0.1_1h15m59s.txt;OW_k4_epochsize20_gamma0.1_1h15m23s.txt;OW_k8_epochsize50_gamma0.01_1h17m33s.txt;OW_k8_epochsize30_gamma0.1_1h16m9s.txt;OW_k4_epochsize10_gamma0.1_1h15m14s.txt;OW_k4_epochsize30_gamma0.01_1h16m46s.txt;OW_k8_epochsize10_gamma0.1_1h15m49s.txt;OW_k4_epochsize50_gamma0.2_1h18m10s.txt;OW_k8_epochsize50_gamma0.3_1h20m6s.txt;OW_k4_epochsize30_gamma0.1_1h15m32s.txt;OW_k8_epochsize20_gamma0.01_1h17m14s.txt;OW_k8_epochsize20_gamma0.2_1h18m29s.txt;OW_k8_epochsize50_gamma0.2_1h18m48s.txt;OW_k4_epochsize30_gamma0.3_1h19m17s.txt;OW_k8_epochsize10_gamma0.3_1h19m36s.txt;OW_k4_epochsize20_gamma0.01_1h16m37s.txt;OW_k8_epochsize20_gamma0.3_1h19m46s.txt;OW_k4_epochsize50_gamma0.01_1h16m55s.txt;OW_k4_epochsize50_gamma0.1_1h15m40s.txt;OW_k4_epochsize10_gamma0.3_1h18m58s.txt;OW_k4_epochsize30_gamma0.2_1h18m1s.txt;OW_k4_epochsize50_gamma0.3_1h19m26s.txt;OW_k8_epochsize30_gamma0.01_1h17m24s.txt
82.8311882353;82.4886;83.4861647059;85.1714823529;82.2674941176;79.6182941176;82.8465764706;84.7251411765;82.6297882353;79.2096470588;81.8589058824;79.7984352941;83.0155529412;84.8593764706;85.3271882353;82.7707411765;80.5728352941;81.2431882353;84.9219176471;80.8803294118;79.6336117647;79.6963764706;83.6368823529;82.2989294118;80.7425764706;79.5840941176;79.4848470588;81.6546;84.5357647059;84.5834470588;80.2225882353;82.5908352941
82.3640117647;82.31;81.9776352941;83.8381294118;81.3885764706;78.8000470588;83.5907176471;84.2185764706;82.7993411765;79.0073176471;80.9923411765;79.6202941176;82.7666235294;84.0803294118;82.7095529412;84.2960823529;80.3609764706;80.4510941176;84.1731294118;81.1947176471;79.5000352941;79.7834588235;84.3888588235;82.4969058824;81.4904235294;79.4843647059;78.4852941176;79.8552235294;84.7103647059;84.3129176471;80.0799176471;82.238
83.4794470588;82.0974352941;82.6998470588;84.0779058824;82.7342235294;79.6181647059;82.4477176471;84.9213647059;82.3560235294;79.6045647059;82.3806235294;79.4843411765;83.2199764706;84.3648588235;83.4353176471;82.8167647059;80.1113294118;80.4898823529;84.5372823529;81.3832941176;78.7562705882;79.8786588235;84.6432117647;83.3679882353;80.6028588235;78.9984470588;78.4499529412;80.2167411765;84.2100588235;83.9255647059;80.0451647059;82.7186823529
83.0314941176;81.7942;82.9130117647;82.8098470588;82.1878235294;80.0253882353;82.3286;84.5800588235;83.6359647059;78.5172705882;81.1993647059;79.5176;82.5197529412;81.4649411765;82.4168470588;82.5828;80.4773411765;80.0723411765;81.9727882353;80.6000705882;78.7308;79.4600352941;84.7137764706;82.9549058824;80.3137764706;80.1482705882;78.8714352941;80.7849529412;84.3081411765;83.3735647059;79.9068117647;82.6468235294
83.0875058824;81.3375058824;81.8148941176;83.0561882353;80.8665058824;79.9187294118;83.3391882353;78.5636235294;82.9410235294;78.7658470588;80.6551294118;79.3218117647;83.034;78.4944117647;82.2486;83.1540588235;80.3624823529;79.6091294118;78.6924352941;79.9808235294;79.1143529412;79.5579529412;79.8565411765;83.2604470588;79.9124235294;79.4384588235;78.6384470588;80.2502352941;78.4177764706;78.5098705882;80.5741647059;82.3741764706
82.7966117647;81.7750823529;82.1410705882;81.5096235294;81.5566470588;79.6074;83.3028117647;79.4450823529;82.8070235294;79.1632823529;80.6080588235;78.9987058824;81.4801411765;81.1832705882;82.8019882353;82.4393294118;80.7050941176;80.2416941176;80.5174823529;80.9979882353;78.2871647059;80.5459176471;80.4690352941;83.4913529412;80.4249882353;78.8772705882;78.3005176471;79.6526823529;80.5721411765;80.9624470588;79.7228588235;82.359
82.6973411765;81.3696588235;81.9260470588;81.2694;81.8568588235;79.6447176471;83.0140470588;80.5122470588;82.5830705882;78.5131764706;81.4580823529;78.8964823529;81.7648;80.7701647059;81.7951764706;81.3232117647;79.8135058824;80.3991529412;79.461;80.3916352941;78.6397176471;79.9295294118;80.2366;83.0809529412;80.1988235294;78.6239882353;78.7499411765;80.3389058824;80.7163058824;79.6494823529;80.2317294118;81.0567058824
81.1150588235;81.9291411765;81.2683529412;81.5621294118;82.2036352941;79.5732705882;81.9775647059;79.9875882353;82.5926;79.7018470588;81.1903058824;78.9195647059;80.5182823529;80.3141058824;81.3078;80.5874941176;80.4296235294;80.4040470588;80.6584;81.2727411765;79.5169411765;78.7834352941;80.6159647059;83.014;79.5118941176;79.0638352941;79.3770470588;80.3266470588;81.5628470588;79.7372117647;80.2608352941;81.7452
79.4896588235;81.5262823529;81.7817764706;81.4489058824;81.1132117647;78.9366588235;80.4323294118;82.0550588235;79.7850470588;80.0205058824;80.6875529412;79.4642352941;79.9937647059;81.9112588235;82.2131411765;79.4198;80.4400117647;80.1281058824;82.0903294118;80.7374117647;78.1508352941;79.5445176471;82.2186705882;80.2584470588;79.8472117647;79.1635882353;78.9097647059;80.1457647059;81.7371058824;83.0891176471;80.1941882353;81.6507882353
83.0634117647;82.3144941176;84.5399058824;84.7671176471;83.7641647059;79.1730352941;79.879;84.6472941176;79.5012117647;83.2337529412;84.3248;79.4519764706;80.0008588235;84.9664823529;81.4300588235;83.2944;79.9503882353;80.2950941176;81.7823058824;83.2392470588;82.8784352941;79.7527647059;82.0160588235;83.4114941176;84.3996588235;83.0254705882;78.6712117647;80.4530352941;84.4154117647;81.6212470588;79.0149294118;81.5648352941
